experiment_id,modelo,ruta_experimento,artefactos_disponibles,puede_calcular_purity,puede_calcular_silhouette,puede_calcular_davies_bouldin,requiere_reentrenamiento,motivo
0CC94F0622,AA,resultados\experimentos\AA_0CC94F0622_rrlyrae_interpolacion_50_K3,"alpha,beta,Z,X_hat,config,metricas",True,True,True,False,OK
5B023BC338,AA,resultados\experimentos\AA_5B023BC338_rrlyrae_interpolacion_50_K3,"alpha,beta,Z,X_hat,config,metricas",True,True,True,False,OK
D7BF314E3D,AA,resultados\experimentos\AA_D7BF314E3D_rrlyrae_interpolacion_50_K3,"alpha,beta,Z,X_hat,config,metricas",True,True,True,False,OK
B31A1FAB02,AA,resultados\experimentos\AA_B31A1FAB02_rrlyrae_interpolacion_50_K3,"alpha,beta,Z,X_hat,config,metricas",True,True,True,False,OK
6374DCC13F,AA,resultados\experimentos\AA_6374DCC13F_rrlyrae_interpolacion_50_K3,"alpha,beta,Z,X_hat,config,metricas",True,True,True,False,OK
A46ABF25A3,AA,resultados\experimentos\AA_A46ABF25A3_rrlyrae_interpolacion_50_K3,"alpha,beta,Z,X_hat,config,metricas",True,True,True,False,OK
02A61F747E,AA,resultados\experimentos\AA_02A61F747E_rrlyrae_interpolacion_50_K3,"alpha,beta,Z,X_hat,config,metricas",True,True,True,False,OK
8F3D7FA684,AA,resultados\experimentos\AA_8F3D7FA684_rrlyrae_interpolacion_50_K3,"alpha,beta,Z,X_hat,config,metricas",True,True,True,False,OK
AD58DCC9E1,AA,resultados\experimentos\AA_AD58DCC9E1_rrlyrae_interpolacion_50_K3,"alpha,beta,Z,X_hat,config,metricas",True,True,True,False,OK
3269CB43FA,AA,resultados\experimentos\AA_3269CB43FA_rrlyrae_interpolacion_50_K4,"alpha,beta,Z,X_hat,config,metricas",True,True,True,False,OK
B7D3D7921E,AA,resultados\experimentos\AA_B7D3D7921E_rrlyrae_interpolacion_50_K6,"alpha,beta,Z,X_hat,config,metricas",True,True,True,False,OK
2C54FF0CB9,AA,resultados\experimentos\AA_2C54FF0CB9_rrlyrae_interpolacion_50_K8,"alpha,beta,Z,X_hat,config,metricas",True,True,True,False,OK
551BBD6912,AA,resultados\experimentos\AA_551BBD6912_rrlyrae_interpolacion_50_K10,"alpha,beta,Z,X_hat,config,metricas",True,True,True,False,OK
43B7FF7CCF,AA,resultados\experimentos\AA_43B7FF7CCF_rrlyrae_interpolacion_50_K4,"alpha,beta,Z,X_hat,config,metricas",True,True,True,False,OK
12DBA2423F,AA,resultados\experimentos\AA_12DBA2423F_rrlyrae_interpolacion_50_K6,"alpha,beta,Z,X_hat,config,metricas",True,True,True,False,OK
26E3EBE786,AA,resultados\experimentos\AA_26E3EBE786_rrlyrae_interpolacion_50_K8,"alpha,beta,Z,X_hat,config,metricas",True,True,True,False,OK
5C663E5AC1,AA,resultados\experimentos\AA_5C663E5AC1_rrlyrae_interpolacion_50_K10,"alpha,beta,Z,X_hat,config,metricas",True,True,True,False,OK
AEC2BA1CCD,AA,resultados\experimentos\AA_AEC2BA1CCD_rrlyrae_interpolacion_100_K3,"alpha,beta,Z,X_hat,config,metricas",True,True,True,False,OK
0E50735547,AA,resultados\experimentos\AA_0E50735547_rrlyrae_interpolacion_100_K4,"alpha,beta,Z,X_hat,config,metricas",True,True,True,False,OK
ED20ADC844,AA,resultados\experimentos\AA_ED20ADC844_rrlyrae_interpolacion_100_K6,"alpha,beta,Z,X_hat,config,metricas",True,True,True,False,OK
1B45B0F11D,AA,resultados\experimentos\AA_1B45B0F11D_rrlyrae_interpolacion_100_K8,"alpha,beta,Z,X_hat,config,metricas",True,True,True,False,OK
44CA0F54FD,AA,resultados\experimentos\AA_44CA0F54FD_rrlyrae_interpolacion_100_K10,"alpha,beta,Z,X_hat,config,metricas",True,True,True,False,OK
0382FDFF44,AA,resultados\experimentos\AA_0382FDFF44_rrlyrae_interpolacion_100_K3,"alpha,beta,Z,X_hat,config,metricas",True,True,True,False,OK
