experiment_id,modelo,dataset,discretizacion,n_puntos,normalizacion,inicializacion,optimizacion,K,purity,davies_bouldin,silhouette,n_muestras,estado_metricas,experimento_final
0CC94F0622,AA,rrlyrae,interpolacion,50,minmax,random,alternating,3,0.834,1.5423419120384658,0.2404055345410082,1000.0,OK_full,False
5B023BC338,AA,rrlyrae,interpolacion,50,minmax,pca,alternating,3,0.834,1.5423419120384658,0.2404055345410082,1000.0,OK_full,False
D7BF314E3D,AA,rrlyrae,interpolacion,50,minmax,furthest_sum,alternating,3,0.834,1.5423419120384658,0.2404055345410082,1000.0,OK_full,False
B31A1FAB02,AA,rrlyrae,interpolacion,50,minmax,random,pgd,3,0.685,3.1109457105628198,0.21947455897659013,1000.0,OK_full,False
6374DCC13F,AA,rrlyrae,interpolacion,50,minmax,pca,pgd,3,0.781,1.6988305595369824,0.24438505825103787,1000.0,OK_full,False
A46ABF25A3,AA,rrlyrae,interpolacion,50,minmax,furthest_sum,pgd,3,0.685,0.8594062966062537,0.4680706659374629,1000.0,OK_full,False
02A61F747E,AA,rrlyrae,interpolacion,50,minmax,random,nnls,3,0.84,1.5208648439611787,0.24383867597929976,1000.0,OK_full,False
8F3D7FA684,AA,rrlyrae,interpolacion,50,minmax,pca,nnls,3,0.84,1.5208648439611787,0.24383867597929976,1000.0,OK_full,False
AD58DCC9E1,AA,rrlyrae,interpolacion,50,minmax,furthest_sum,nnls,3,0.84,1.5208648439611787,0.24383867597929976,1000.0,OK_full,False
3269CB43FA,AA,rrlyrae,interpolacion,50,minmax,random,alternating,4,0.837,2.1768512740547292,0.2034219380263973,1000.0,OK_full,False
B7D3D7921E,AA,rrlyrae,interpolacion,50,minmax,random,alternating,6,0.812,1.9236476556667388,0.14441092840972464,1000.0,OK_full,False
2C54FF0CB9,AA,rrlyrae,interpolacion,50,minmax,random,alternating,8,0.807,2.537338177468429,0.06918134909611252,1000.0,OK_full,False
551BBD6912,AA,rrlyrae,interpolacion,50,minmax,random,alternating,10,0.788,3.622979468536174,0.05037734814128369,1000.0,OK_full,False
