experimento,arquetipo,mean_activation,dominant_count,dominant_fraction,K,optimizacion,discretizacion,n_puntos
AA_C532DA2030_rrlyrae_percentiles_50_K3,1,0.4443299444252488,461,0.461,3,nnls,percentiles,50
AA_C532DA2030_rrlyrae_percentiles_50_K3,2,0.31924014509994564,319,0.319,3,nnls,percentiles,50
AA_C532DA2030_rrlyrae_percentiles_50_K3,3,0.23642990049262125,220,0.22,3,nnls,percentiles,50
AA_992965CD69_rrlyrae_percentiles_50_K4,1,0.3534208471500752,362,0.362,4,nnls,percentiles,50
AA_992965CD69_rrlyrae_percentiles_50_K4,2,0.13554788241665908,131,0.131,4,nnls,percentiles,50
AA_992965CD69_rrlyrae_percentiles_50_K4,3,0.24170281449032244,242,0.242,4,nnls,percentiles,50
AA_992965CD69_rrlyrae_percentiles_50_K4,4,0.2693284459628693,265,0.265,4,nnls,percentiles,50
AA_2BE5F899AA_rrlyrae_percentiles_50_K6,1,0.32359920338210835,341,0.341,6,nnls,percentiles,50
AA_2BE5F899AA_rrlyrae_percentiles_50_K6,2,0.038431618239064554,36,0.036,6,nnls,percentiles,50
AA_2BE5F899AA_rrlyrae_percentiles_50_K6,3,0.21918477402115064,223,0.223,6,nnls,percentiles,50
AA_2BE5F899AA_rrlyrae_percentiles_50_K6,4,0.055224136652165766,40,0.04,6,nnls,percentiles,50
AA_2BE5F899AA_rrlyrae_percentiles_50_K6,5,0.13176399985352885,120,0.12,6,nnls,percentiles,50
AA_2BE5F899AA_rrlyrae_percentiles_50_K6,6,0.2317962578695949,240,0.24,6,nnls,percentiles,50
AA_4694C3F4EC_rrlyrae_percentiles_50_K8,1,0.275517643353405,291,0.291,8,nnls,percentiles,50
AA_4694C3F4EC_rrlyrae_percentiles_50_K8,2,0.0,0,0.0,8,nnls,percentiles,50
AA_4694C3F4EC_rrlyrae_percentiles_50_K8,3,0.19879848580095708,199,0.199,8,nnls,percentiles,50
AA_4694C3F4EC_rrlyrae_percentiles_50_K8,4,0.04986640472120114,33,0.033,8,nnls,percentiles,50
AA_4694C3F4EC_rrlyrae_percentiles_50_K8,5,0.11958349405613315,125,0.125,8,nnls,percentiles,50
AA_4694C3F4EC_rrlyrae_percentiles_50_K8,6,0.18353297888771386,187,0.187,8,nnls,percentiles,50
AA_4694C3F4EC_rrlyrae_percentiles_50_K8,7,0.04682169993535603,47,0.047,8,nnls,percentiles,50
AA_4694C3F4EC_rrlyrae_percentiles_50_K8,8,0.12587928326271058,118,0.118,8,nnls,percentiles,50
AA_13B6159A6E_rrlyrae_percentiles_50_K10,1,0.16903795601486013,175,0.175,10,nnls,percentiles,50
AA_13B6159A6E_rrlyrae_percentiles_50_K10,2,0.0,0,0.0,10,nnls,percentiles,50
AA_13B6159A6E_rrlyrae_percentiles_50_K10,3,0.09183618216678634,80,0.08,10,nnls,percentiles,50
AA_13B6159A6E_rrlyrae_percentiles_50_K10,4,0.20916243576799706,213,0.213,10,nnls,percentiles,50
AA_13B6159A6E_rrlyrae_percentiles_50_K10,5,0.03237896709983079,31,0.031,10,nnls,percentiles,50
AA_13B6159A6E_rrlyrae_percentiles_50_K10,6,0.046935239246509004,37,0.037,10,nnls,percentiles,50
AA_13B6159A6E_rrlyrae_percentiles_50_K10,7,0.1344520799363677,141,0.141,10,nnls,percentiles,50
AA_13B6159A6E_rrlyrae_percentiles_50_K10,8,0.11719951549571175,122,0.122,10,nnls,percentiles,50
AA_13B6159A6E_rrlyrae_percentiles_50_K10,9,0.03572422106529971,33,0.033,10,nnls,percentiles,50
AA_13B6159A6E_rrlyrae_percentiles_50_K10,10,0.16327339322421353,168,0.168,10,nnls,percentiles,50
