star_id,subtipo_rrlyrae,alpha_1,alpha_2,alpha_3,alpha_4,alpha_5,alpha_6,arquetipo_dominante,star_id_base,archivo_origen
OGLEIII_OGLE-BLG-RRLYR-00652,RRc,0.0,0.0,0.9999999899504765,0.0,0.0,0.0,3,OGLE-BLG-RRLYR-00652,datos\raw\periodos\OGLEIII\BLG\RRc.dat
OGLEIII_OGLE-BLG-RRLYR-00653,RRc,0.0,0.0,0.852499895004443,0.147500095113302,0.0,0.0,3,OGLE-BLG-RRLYR-00653,datos\raw\periodos\OGLEIII\BLG\RRc.dat
OGLEIII_OGLE-BLG-RRLYR-00654,RRab,0.0,0.0,0.4044023590721415,0.5955976303166046,0.0,0.0,4,OGLE-BLG-RRLYR-00654,datos\raw\periodos\OGLEIII\BLG\RRab.dat
OGLEIII_OGLE-BLG-RRLYR-00658,RRab,0.0,0.821983117142209,0.0,0.0,0.0,0.1780168724632772,2,OGLE-BLG-RRLYR-00658,datos\raw\periodos\OGLEIII\BLG\RRab.dat
OGLEIII_OGLE-BLG-RRLYR-00659,RRab,0.0,0.6993637538274972,0.0,0.0,0.0,0.30063623674855555,2,OGLE-BLG-RRLYR-00659,datos\raw\periodos\OGLEIII\BLG\RRab.dat
OGLEIII_OGLE-BLG-RRLYR-00674,RRab,0.0,0.0,0.0,0.0,0.9999999903236774,0.0,5,OGLE-BLG-RRLYR-00674,datos\raw\periodos\OGLEIII\BLG\RRab.dat
OGLEIII_OGLE-BLG-RRLYR-00679,RRc,0.0,0.0,0.9999999901544192,0.0,0.0,0.0,3,OGLE-BLG-RRLYR-00679,datos\raw\periodos\OGLEIII\BLG\RRc.dat
OGLEIII_OGLE-BLG-RRLYR-00687,RRab,0.24832535958624932,0.0,0.0691482740040093,0.0,0.682526357808729,0.0,5,OGLE-BLG-RRLYR-00687,datos\raw\periodos\OGLEIII\BLG\RRab.dat
OGLEIII_OGLE-BLG-RRLYR-00703,RRab,0.0,0.0,0.0,0.0,0.9999999901170132,0.0,5,OGLE-BLG-RRLYR-00703,datos\raw\periodos\OGLEIII\BLG\RRab.dat
OGLEIII_OGLE-BLG-RRLYR-00712,RRc,0.0,0.0,0.04525753275341438,0.9547424578801208,0.0,0.0,4,OGLE-BLG-RRLYR-00712,datos\raw\periodos\OGLEIII\BLG\RRc.dat
OGLEIII_OGLE-BLG-RRLYR-00714,RRab,0.0,0.0,0.0,0.0,0.999999990082086,0.0,5,OGLE-BLG-RRLYR-00714,datos\raw\periodos\OGLEIII\BLG\RRab.dat
OGLEIII_OGLE-BLG-RRLYR-00717,RRab,0.0,0.9292947037370696,0.0,0.0,0.07070528591806076,0.0,2,OGLE-BLG-RRLYR-00717,datos\raw\periodos\OGLEIII\BLG\RRab.dat
OGLEIII_OGLE-BLG-RRLYR-00718,RRc,0.0,0.0,0.5328329720895082,0.4671670182911086,0.0,0.0,3,OGLE-BLG-RRLYR-00718,datos\raw\periodos\OGLEIII\BLG\RRc.dat
OGLEIII_OGLE-BLG-RRLYR-00719,RRc,0.0,0.0,0.9999999901440801,0.0,0.0,0.0,3,OGLE-BLG-RRLYR-00719,datos\raw\periodos\OGLEIII\BLG\RRc.dat
OGLEIII_OGLE-BLG-RRLYR-00725,RRab,0.030328760927366995,0.0,0.0,0.0,0.9696712298658302,0.0,5,OGLE-BLG-RRLYR-00725,datos\raw\periodos\OGLEIII\BLG\RRab.dat
OGLEIII_OGLE-BLG-RRLYR-00729,RRab,0.0,0.5333299120731704,0.0,0.0,0.4666700776783798,0.0,2,OGLE-BLG-RRLYR-00729,datos\raw\periodos\OGLEIII\BLG\RRab.dat
OGLEIII_OGLE-BLG-RRLYR-00730,RRc,0.0,0.0,0.9999999904103503,0.0,0.0,0.0,3,OGLE-BLG-RRLYR-00730,datos\raw\periodos\OGLEIII\BLG\RRc.dat
OGLEIII_OGLE-BLG-RRLYR-00742,RRab,0.0,0.0,0.0,0.0,0.9999999895920101,0.0,5,OGLE-BLG-RRLYR-00742,datos\raw\periodos\OGLEIII\BLG\RRab.dat
OGLEIII_OGLE-BLG-RRLYR-00743,RRab,0.0,0.7291326914731521,0.0,0.0,0.27086729839586215,0.0,2,OGLE-BLG-RRLYR-00743,datos\raw\periodos\OGLEIII\BLG\RRab.dat
OGLEIII_OGLE-BLG-RRLYR-00749,RRab,0.0,0.9999999898279693,0.0,0.0,0.0,0.0,2,OGLE-BLG-RRLYR-00749,datos\raw\periodos\OGLEIII\BLG\RRab.dat
OGLEIII_OGLE-BLG-RRLYR-00756,RRab,0.07435430469000479,0.0,0.0,0.0,0.9256456859698857,0.0,5,OGLE-BLG-RRLYR-00756,datos\raw\periodos\OGLEIII\BLG\RRab.dat
OGLEIII_OGLE-BLG-RRLYR-00757,RRab,0.3557579252962984,0.5902188682643029,0.0,0.0,0.054023196874396585,0.0,2,OGLE-BLG-RRLYR-00757,datos\raw\periodos\OGLEIII\BLG\RRab.dat
OGLEIII_OGLE-BLG-RRLYR-00761,RRab,0.0,0.37075202159085807,0.0,0.0,0.0,0.6292479678282368,6,OGLE-BLG-RRLYR-00761,datos\raw\periodos\OGLEIII\BLG\RRab.dat
OGLEIII_OGLE-BLG-RRLYR-00771,RRc,0.0,0.0,0.9999999902293752,0.0,0.0,0.0,3,OGLE-BLG-RRLYR-00771,datos\raw\periodos\OGLEIII\BLG\RRc.dat
OGLEIII_OGLE-BLG-RRLYR-00774,RRab,0.0,0.0,0.0,0.0,0.9999999900450923,0.0,5,OGLE-BLG-RRLYR-00774,datos\raw\periodos\OGLEIII\BLG\RRab.dat
OGLEIII_OGLE-BLG-RRLYR-00776,RRc,0.0,0.0,0.580155599850033,0.41984439060463363,0.0,0.0,3,OGLE-BLG-RRLYR-00776,datos\raw\periodos\OGLEIII\BLG\RRc.dat
OGLEIII_OGLE-BLG-RRLYR-00778,RRc,0.38908777980842146,0.0,0.6109122117153495,0.0,0.0,0.0,3,OGLE-BLG-RRLYR-00778,datos\raw\periodos\OGLEIII\BLG\RRc.dat
OGLEIII_OGLE-BLG-RRLYR-00781,RRc,0.005904780019714368,0.0,0.5025079168827663,0.491587293303455,0.0,0.0,3,OGLE-BLG-RRLYR-00781,datos\raw\periodos\OGLEIII\BLG\RRc.dat
OGLEIII_OGLE-BLG-RRLYR-00786,RRab,0.6454013212808101,0.0,0.04745211131089265,0.0,0.0,0.30714655796902063,1,OGLE-BLG-RRLYR-00786,datos\raw\periodos\OGLEIII\BLG\RRab.dat
OGLEIII_OGLE-BLG-RRLYR-00800,RRc,0.0,0.0,0.0,0.994602701920733,0.005397287243793138,0.0,4,OGLE-BLG-RRLYR-00800,datos\raw\periodos\OGLEIII\BLG\RRc.dat
OGLEIII_OGLE-BLG-RRLYR-00809,RRab,0.0,0.0,0.0,0.0,0.9999999903599833,0.0,5,OGLE-BLG-RRLYR-00809,datos\raw\periodos\OGLEIII\BLG\RRab.dat
