dataset,discretizacion,n_puntos,normalizacion,suavizado,inicializacion,optimizacion,K,error_rel,error_fro,convergio,iteraciones_reales,tiempo_segundos,ruta_experimento
rrlyrae,interpolacion,50,zscore,savgol,furthest_sum,robust_pgd,3,0.591285069503082,126.64720582301403,True,26,24.67407410001033,resultados\experimentos\AA_75CE0E8EAC_rrlyrae_interpolacion_50_K3
rrlyrae,interpolacion,50,zscore,savgol,furthest_sum,robust_pgd,4,0.5689292101142402,121.85880971528135,True,26,21.131541499999003,resultados\experimentos\AA_974B35B872_rrlyrae_interpolacion_50_K4
rrlyrae,interpolacion,50,zscore,savgol,furthest_sum,robust_pgd,6,0.3035512168088817,65.01756160582441,False,100,71.41807670000708,resultados\experimentos\AA_0B0764A136_rrlyrae_interpolacion_50_K6
rrlyrae,interpolacion,50,zscore,savgol,furthest_sum,robust_pgd,8,0.2655411260222638,56.87618946657888,False,100,92.03393089999736,resultados\experimentos\AA_94F4D1EF0F_rrlyrae_interpolacion_50_K8
rrlyrae,interpolacion,50,zscore,savgol,furthest_sum,robust_pgd,10,0.2608010288585347,55.860909203168205,False,100,83.46653539998806,resultados\experimentos\AA_C5CD6B2D56_rrlyrae_interpolacion_50_K10
rrlyrae,interpolacion,50,zscore,savgol,pca,robust_pgd,3,0.4901053720336806,104.97555092855406,True,27,24.948223600003985,resultados\experimentos\AA_67C8AE7841_rrlyrae_interpolacion_50_K3
rrlyrae,interpolacion,50,zscore,savgol,pca,robust_pgd,4,0.5597994110249511,119.903300259655,False,100,87.56760309998936,resultados\experimentos\AA_2ECEE51D13_rrlyrae_interpolacion_50_K4
rrlyrae,interpolacion,50,zscore,savgol,pca,robust_pgd,6,0.5237826340663095,112.18887552642758,True,74,52.492596299998695,resultados\experimentos\AA_B10EE10BCE_rrlyrae_interpolacion_50_K6
rrlyrae,interpolacion,50,zscore,savgol,pca,robust_pgd,8,0.2662894187054784,57.0364660951543,False,100,88.34908220000216,resultados\experimentos\AA_AE193C10F6_rrlyrae_interpolacion_50_K8
rrlyrae,interpolacion,50,zscore,savgol,pca,robust_pgd,10,0.2586430144662979,55.39868462318292,False,100,87.81581970000116,resultados\experimentos\AA_17F3E583C7_rrlyrae_interpolacion_50_K10
rrlyrae,interpolacion,50,zscore,savgol,random,robust_pgd,3,0.6104807204509461,130.75871765020082,False,100,111.11860380000144,resultados\experimentos\AA_7E3B509073_rrlyrae_interpolacion_50_K3
rrlyrae,interpolacion,50,zscore,savgol,random,robust_pgd,4,0.6091017310572949,130.46335224597664,False,100,100.7919447000022,resultados\experimentos\AA_A224BC5787_rrlyrae_interpolacion_50_K4
rrlyrae,interpolacion,50,zscore,savgol,random,robust_pgd,6,0.6078045855298448,130.18551695963086,False,100,82.3007620999997,resultados\experimentos\AA_A8340928F6_rrlyrae_interpolacion_50_K6
rrlyrae,interpolacion,50,zscore,savgol,random,robust_pgd,8,0.6073961207518573,130.09802798776707,False,100,73.33987490000436,resultados\experimentos\AA_8B591E7475_rrlyrae_interpolacion_50_K8
rrlyrae,interpolacion,50,zscore,savgol,random,robust_pgd,10,0.2565596983712722,54.95245965338475,False,100,82.48718290000397,resultados\experimentos\AA_93D0C5A461_rrlyrae_interpolacion_50_K10
rrlyrae,interpolacion,100,zscore,savgol,furthest_sum,robust_pgd,3,0.5800748869428628,176.01142002984332,True,23,20.19378090000828,resultados\experimentos\AA_3C26F0D4D3_rrlyrae_interpolacion_100_K3
rrlyrae,interpolacion,100,zscore,savgol,furthest_sum,robust_pgd,4,0.5610680248560127,170.2441908987063,True,23,17.24029239999072,resultados\experimentos\AA_DC234BC04B_rrlyrae_interpolacion_100_K4
rrlyrae,interpolacion,100,zscore,savgol,furthest_sum,robust_pgd,6,0.3802352506981289,115.37432136305068,False,100,79.47181779998937,resultados\experimentos\AA_CBD1F43C3E_rrlyrae_interpolacion_100_K6
rrlyrae,interpolacion,100,zscore,savgol,furthest_sum,robust_pgd,8,0.370912944506353,112.54566529173708,False,100,141.5945098999946,resultados\experimentos\AA_826034E99D_rrlyrae_interpolacion_100_K8
rrlyrae,interpolacion,100,zscore,savgol,furthest_sum,robust_pgd,10,0.367755947611661,111.5877415495233,False,100,95.08707299998788,resultados\experimentos\AA_5FC93DA648_rrlyrae_interpolacion_100_K10
rrlyrae,interpolacion,100,zscore,savgol,pca,robust_pgd,3,0.4822750391884145,146.3361307362758,True,22,21.147660999995423,resultados\experimentos\AA_7FD3B2AA37_rrlyrae_interpolacion_100_K3
rrlyrae,interpolacion,100,zscore,savgol,pca,robust_pgd,4,0.559313665641344,169.71186780807287,False,100,83.56908500001009,resultados\experimentos\AA_D57F5EAD89_rrlyrae_interpolacion_100_K4
rrlyrae,interpolacion,100,zscore,savgol,pca,robust_pgd,6,0.3087631323340982,93.68762309536096,True,48,40.88450740001281,resultados\experimentos\AA_D836880BA0_rrlyrae_interpolacion_100_K6
rrlyrae,interpolacion,100,zscore,savgol,pca,robust_pgd,8,0.2834655256216992,86.01160094540634,True,93,62.27383059999556,resultados\experimentos\AA_797C0C17CF_rrlyrae_interpolacion_100_K8
rrlyrae,interpolacion,100,zscore,savgol,pca,robust_pgd,10,0.2674473445145294,81.1512236623507,False,100,68.36962389999826,resultados\experimentos\AA_31CC3FBF34_rrlyrae_interpolacion_100_K10
