dataset,discretizacion,n_puntos,optimizacion,K,error_rel,error_fro,convergio,iteraciones_reales,tiempo_segundos,ruta_experimento
rrlyrae,interpolacion,50,alternating,3,0.286210565978207,39.07514819120411,True,47,3.295996799999557,resultados\experimentos\AA_0CC94F0622_rrlyrae_interpolacion_50_K3
rrlyrae,interpolacion,50,alternating,4,0.2923411711479264,39.91213443135146,True,49,3.196545399994648,resultados\experimentos\AA_3269CB43FA_rrlyrae_interpolacion_50_K4
rrlyrae,interpolacion,50,alternating,6,0.2608804146923802,35.61692710206841,True,47,3.569840199997998,resultados\experimentos\AA_B7D3D7921E_rrlyrae_interpolacion_50_K6
rrlyrae,interpolacion,50,alternating,8,0.2638317207972869,36.01985675287527,False,100,6.855437999998685,resultados\experimentos\AA_2C54FF0CB9_rrlyrae_interpolacion_50_K8
rrlyrae,interpolacion,50,alternating,10,0.2707313632630578,36.961836483409925,False,100,5.0915846999996575,resultados\experimentos\AA_551BBD6912_rrlyrae_interpolacion_50_K10
rrlyrae,interpolacion,50,nnls,3,0.2787361973833263,38.0547034725319,True,30,1.445511500001885,resultados\experimentos\AA_02A61F747E_rrlyrae_interpolacion_50_K3
rrlyrae,interpolacion,50,nnls,4,0.2710918228336925,37.011048541991165,True,86,3.049871600000188,resultados\experimentos\AA_43B7FF7CCF_rrlyrae_interpolacion_50_K4
rrlyrae,interpolacion,50,nnls,6,0.2358910748692819,32.20523559637369,True,67,1.6715804999985266,resultados\experimentos\AA_12DBA2423F_rrlyrae_interpolacion_50_K6
rrlyrae,interpolacion,50,nnls,8,0.2197723266776242,30.00460938226779,True,49,1.5618485000013609,resultados\experimentos\AA_26E3EBE786_rrlyrae_interpolacion_50_K8
rrlyrae,interpolacion,50,nnls,10,0.2161656061436326,29.51219870250025,True,66,2.6867090000014286,resultados\experimentos\AA_5C663E5AC1_rrlyrae_interpolacion_50_K10
rrlyrae,interpolacion,100,alternating,3,0.2806001727844764,53.182363144295934,True,34,1.8752804999967336,resultados\experimentos\AA_AEC2BA1CCD_rrlyrae_interpolacion_100_K3
rrlyrae,interpolacion,100,alternating,4,0.2635377258699994,49.94850466540982,True,84,6.072795000000042,resultados\experimentos\AA_0E50735547_rrlyrae_interpolacion_100_K4
rrlyrae,interpolacion,100,alternating,6,0.2592168454100849,49.129564921210985,True,48,2.955937100006849,resultados\experimentos\AA_ED20ADC844_rrlyrae_interpolacion_100_K6
rrlyrae,interpolacion,100,alternating,8,0.2604757295950199,49.368162193676845,False,100,6.843682799997623,resultados\experimentos\AA_1B45B0F11D_rrlyrae_interpolacion_100_K8
rrlyrae,interpolacion,100,alternating,10,0.2648737748603161,50.20172704184849,False,100,7.277803100005258,resultados\experimentos\AA_44CA0F54FD_rrlyrae_interpolacion_100_K10
rrlyrae,interpolacion,100,nnls,3,0.2756855447615715,52.25088997505444,True,19,1.1113447999960044,resultados\experimentos\AA_0382FDFF44_rrlyrae_interpolacion_100_K3
rrlyrae,interpolacion,100,nnls,4,0.2637792865434999,49.99428784270441,True,49,2.250684900005581,resultados\experimentos\AA_B240583B97_rrlyrae_interpolacion_100_K4
rrlyrae,interpolacion,100,nnls,6,0.2292919537390073,43.457877551555136,True,44,2.497602300005383,resultados\experimentos\AA_CB5A7D2211_rrlyrae_interpolacion_100_K6
rrlyrae,interpolacion,100,nnls,8,0.221146067902976,41.91398164313551,True,52,1.8179583000019195,resultados\experimentos\AA_DCFD0409E7_rrlyrae_interpolacion_100_K8
